Country,Current Status,1: intl definition,2: designated authority,3: entity list,4: rebuttable presumption,5: evidentiary standard,6: remediation requirement,7: allegations mechanism,8: public disclosure
Algeria,No known action,,,,,,,,
Angola,No known action,,,,,,,,
Argentina,Commitment via ART or Section 301,,,,,,,,
Australia,No known action,,,,,,,,
Bahrain,No known action,,,,,,,,
Bangladesh,Commitment via ART or Section 301,,,,,,,,
Brazil,Provision proposed,Yes,Unclear,Yes,No,No,No,No,No
Cambodia,Provision in implementation,Yes,Yes,No,No,No,No,No,No
Canada,Provision in implementation,Yes,Unclear,No,No,No,No,No,No
Chile,Considering / in consultation,,,,,,,,
China,No known action,,,,,,,,
Colombia,No known action,,,,,,,,
Costa Rica,Commitment via ART or Section 301,,,,,,,,
Dominican Republic,Provision in implementation,Yes,Yes,Yes,No,Yes,No,Yes,Unclear
Ecuador,Provision in implementation,Yes,Yes,No,No,Unclear,No,Yes,No
Egypt,No known action,,,,,,,,
El Salvador,Provision in implementation,Unclear,No,No,No,No,No,No,No
European Union,Provision adopted,Yes,Yes,No,No,Unclear,Yes,Yes,No
Guatemala,Provision adopted,Unclear,Yes,Yes,Yes,No,No,No,No
Guyana,No known action,,,,,,,,
Honduras,Provision in implementation,Yes,Yes,Unclear,No,No,No,No,Yes
Hong Kong,No known action,,,,,,,,
India,Provision adopted,Yes,No,No,No,No,No,No,No
Indonesia,Provision in implementation,Yes,No,No,No,No,No,Unclear,No
Iraq,No known action,,,,,,,,
Israel,Provision proposed,,,,,,,,
Japan,No known action,,,,,,,,
Jordan,Commitment via ART or Section 301,,,,,,,,
Kazakhstan,No known action,,,,,,,,
Kuwait,No known action,,,,,,,,
Libya,No known action,,,,,,,,
Malaysia,Commitment via ART or Section 301,,,,,,,,
Mexico,Provision in implementation,Yes,Yes,No,No,No,No,Yes,No
Morocco,No known action,,,,,,,,
New Zealand,No known action,,,,,,,,
Nicaragua,No known action,,,,,,,,
Nigeria,No known action,,,,,,,,
Norway,Provision proposed,Yes,Yes,No,No,Unclear,Yes,Yes,No
Oman,No known action,,,,,,,,
Pakistan,Provision in implementation,Unclear,No,No,No,No,No,No,No
Peru,Provision proposed,No,No,No,No,No,No,No,
Philippines,Commitment via ART or Section 301,,,,,,,,
Qatar,No known action,,,,,,,,
Russia,No known action,,,,,,,,
Saudi Arabia,No known action,,,,,,,,
Singapore,No known action,,,,,,,,
South Africa,Considering / in consultation,,,,,,,,
South Korea,No known action,,,,,,,,
Sri Lanka,Provision in implementation,No,Unclear,No,No,No,No,No,No
Switzerland,Considering / in consultation,,,,,,,,
Taiwan,Provision in implementation,Unclear,Yes,No,No,,,,
Thailand,No known action,,,,,,,,
The Bahamas,No known action,,,,,,,,
Trinidad & Tobago,Provision in implementation,No,No,No,No,No,No,No,No
Turkiye,No known action,,,,,,,,
UAE,No known action,,,,,,,,
United Kingdom,Considering / in consultation,,,,,,,,
United States,Provision in implementation,Yes,Yes,Yes,Yes,Yes,Unclear,Yes,Yes
Uruguay,Provision proposed,No,No,No,No,No,No,No,No
Venezuela,No known action,,,,,,,,
Vietnam,Provision in implementation,No,Unclear,Unclear,No,No,No,No,No
